crimeCaseNumber,CrimeDate,CrimeCode,CrimeTime,Location,Description,Weapon,Post,District,Neighborhood,Location 1
,12/31/14,3B,20:55:00,100 N POTOMAC ST,ROBBERY - STREET,,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2935900000, -76.5749000000)"
,12/31/14,4B,16:40:00,3200 BATAVIA AV,AGG. ASSAULT,KNIFE,426,NORTHEASTERN,Waltherson,"(39.3476200000, -76.5617100000)"
,12/31/14,4B,16:40:00,3200 BATAVIA AV,AGG. ASSAULT,KNIFE,426,NORTHEASTERN,Waltherson,"(39.3476200000, -76.5617100000)"
,12/31/14,4A,19:00:00,4400 BELAIR RD,AGG. ASSAULT,FIREARM,422,NORTHEASTERN,Arcadia,"(39.3293500000, -76.5640000000)"
,12/31/14,4C,19:30:00,,AGG. ASSAULT,OTHER,931,SOUTHERN,Hollins Market,"(39.2866900000, -76.6351700000)"
,12/31/14,3AF,1:00:00,2300 E FAIRMOUNT AV,ROBBERY - STREET,FIREARM,221,SOUTHEASTERN,Patterson Place,"(39.2930500000, -76.5842700000)"
,12/31/14,3AO,1:45:00,2500 W BELVEDERE AVE,ROBBERY - STREET,OTHER,532,NORTHERN,Levindale,"(39.3529200000, -76.6668600000)"
,12/31/14,1F,840,4000 2ND ST,HOMICIDE,FIREARM,913,SOUTHERN,Brooklyn,"(39.2337400000, -76.6107900000)"
,12/31/14,3AF,10:27:00,4000 SPRUCE DR,ROBBERY - STREET,FIREARM,533,NORTHERN,Greenspring,"(39.3366600000, -76.6572900000)"
,12/31/14,3AF,10:27:00,4000 SPRUCE DR,ROBBERY - STREET,FIREARM,533,NORTHERN,Greenspring,"(39.3366600000, -76.6572900000)"
,12/31/14,3D,11:44:00,0 N CALVERT ST,ROBBERY - COMMERCIAL,,111,CENTRAL,Downtown,"(39.2901100000, -76.6123600000)"
,12/31/14,4B,13:18:00,4600 MARY AV,AGG. ASSAULT,KNIFE,445,NORTHEASTERN,Cedmont,"(39.3427200000, -76.5358300000)"
,12/31/14,3AF,15:00:00,4300 NICHOLAS AV,ROBBERY - STREET,FIREARM,442,NORTHEASTERN,Belair-Edison,"(39.3279500000, -76.5624600000)"
,12/31/14,4B,22:00:00,600 E PATAPSCO AVE,AGG. ASSAULT,KNIFE,913,SOUTHERN,Brooklyn,"(39.2362700000, -76.6020700000)"
,12/31/14,4C,22:00:00,4300 E EAGER ST,AGG. ASSAULT,OTHER,333,EASTERN,Orangeville,"(39.3031900000, -76.5614600000)"
,12/31/14,4B,22:22:00,1300 POPLAR GROVE ST,AGG. ASSAULT,KNIFE,814,SOUTHWESTERN,Winchester,"(39.3021700000, -76.6653800000)"
